Municipi,Comarca,Altitud (m),Superfície (km²),Població
Abella de la Conca,Pallars Jussà,956,78,167
Abrera,Baix Llobregat,105,20,12697
Àger,Noguera,642,161,580
Agramunt,Urgell,337,80,5479
Aguilar de Segarra,Bages,480,43,287
Agullana,Alt Empordà,166,28,903
Aiguafreda,Vallès Oriental,404,8,2552
Aiguamúrcia,Alt Camp,314,73,961
Aiguaviva,Gironès,169,14,780
Aitona,Segrià,110,67,2521
Alamús,Segrià,212,21,781
Alàs i Cerc,Alt Urgell,768,58,329
Albagés,Garrigues,372,26,348
Albanyà,Alt Empordà,239,94,180
Albatàrrec,Segrià,147,11,2217
Albesa,Noguera,237,38,1579
Albi,Garrigues,526,33,755
Albinyana,Baix Penedès,198,19,2581
Albiol,Baix Camp,823,20,528
Albons,Baix Empordà,25,11,797
Alcanar,Montsià,72,47,9612
Alcanó,Segrià,214,21,240
Alcarràs,Segrià,137,114,9637
Alcoletge,Segrià,213,17,3470
Alcover,Alt Camp,243,46,5290
Aldea,Baix Ebre,9,35,4332
Aldover,Baix Ebre,14,20,862
Aleixar,Baix Camp,262,26,924
Alella,Maresme,90,10,79
Alfara de Carles,Baix Ebre,334,64,359
Alfarràs,Segrià,281,11,2795
Alfés,Segrià,236,32,
Alforja,Baix Camp,374,38,1928
Algerri,Noguera,345,54,422
Alguaire,Segrià,304,50,3040
Alins,Pallars Sobirà,1048,183,285
Alió,Alt Camp,263,7,496
Almacelles,Segrià,247,49,6922
Almatret,Segrià,462,57,302
Almenar,Segrià,329,67,3401
Almoster,Baix Camp,290,6,1334
Alòs de Balaguer,Noguera,297,69,121
Alp,Cerdanya,1158,44,1717
Alpens,Osona,855,14,281
Alpicat,Segrià,264,15,6333
Alt Àneu,Pallars Sobirà,1076,218,441
Altafulla,Tarragonès,52,7,5609
Amer,Selva,186,40,2422
Ametlla de Mar,Baix Ebre,19,67,7209
Ametlla del Vallès,Vallès Oriental,281,14,9020
Ampolla,Baix Ebre,8,36,3563
Amposta,Montsià,8,138,21807
Anglès,Selva,181,16,5682
Anglesola,Urgell,335,24,1350
Arbeca,Garrigues,332,58,2
Arboç,Baix Penedès,166,14,5604
Arbolí,Baix Camp,714,21,122
Arbúcies,Selva,291,86,6474
Arenys de Mar,Maresme,10,7,16155
Arenys de Munt,Maresme,121,21,9278
Argelaguer,Garrotxa,183,13,439
Argençola,Anoia,716,47,216
Argentera,Baix Camp,344,10,126
Argentona,Maresme,88,25,12745
Armentera,Alt Empordà,7,6,1043
Arnes,Terra Alta,506,43,448
Arres,Val d'Aran,1224,12,61
Arsèguel,Alt Urgell,950,11,80
Artés,Bages,316,18,5902
Artesa de Lleida,Segrià,202,24,1505
Artesa de Segre,Noguera,318,176,3470
Ascó,Ribera d'Ebre,70,74,1601
Aspa,Segrià,256,10,221
Avellanes i Santa Linya,Noguera,567,103,459
Avià,Berguedà,677,27,2237
Avinyó,Bages,353,63,2270
Avinyonet de Puigventós,Alt Empordà,70,12,1676
Avinyonet del Penedès,Alt Penedès,280,29,1706
Badalona,Barcelonès,6,21,223506
Badia del Vallès,Vallès Occidental,120,1,13163
Bagà,Berguedà,785,43,2167
Baix Pallars,Pallars Sobirà,591,129,345
Balaguer,Noguera,233,57,17460
Balenyà,Osona,587,17,3948
Balsareny,Bages,327,37,3249
Banyeres del Penedès,Baix Penedès,173,12,3271
Banyoles,Pla de l'Estany,172,11,20187
Barbens,Pla d'Urgell,283,8,979
Barberà de la Conca,Conca de Barberà,475,27,486
Barberà del Vallès,Vallès Occidental,146,8,33082
Barcelona,Barcelonès,9,101,1636193
Baronia de Rialb,Noguera,388,145,229
Bàscara,Alt Empordà,66,18,1034
Bassella,Alt Urgell,423,70,223
Batea,Terra Alta,376,128,1863
Bausen,Val d'Aran,931,18,66
Begues,Baix Llobregat,399,50,7450
Begur,Baix Empordà,200,21,4177
Belianes,Urgell,373,16,508
Bellaguarda,Garrigues,640,17,288
Bellcaire d'Empordà,Baix Empordà,35,13,713
Bellcaire d'Urgell,Noguera,267,31,1229
Bell-lloc d'Urgell,Pla d'Urgell,196,35,2342
Bellmunt d'Urgell,Noguera,379,5,178
Bellmunt del Priorat,Priorat,261,9,272
Bellprat,Anoia,653,31,74
Bellpuig,Urgell,308,35,5168
Bellvei,Baix Penedès,108,8,2346
Bellver de Cerdanya,Cerdanya,1061,98,2176
Bellvís,Pla d'Urgell,207,47,2243
Benavent de Segrià,Segrià,234,7,1563
Benifallet,Baix Ebre,19,62,739
Benissanet,Ribera d'Ebre,26,23,1169
Berga,Berguedà,704,23,16762
Besalú,Garrotxa,151,5,2480
Bescanó,Gironès,102,36,5156
Beuda,Garrotxa,338,36,202
Bigues i Riells del Fai,Vallès Oriental,307,29,9757
Biosca,Segarra,455,66,182
Bisbal d'Empordà,Baix Empordà,39,21,11163
Bisbal de Falset,Priorat,372,14,219
Bisbal del Penedès,Baix Penedès,189,33,4062
Biure,Alt Empordà,81,10,249
Blancafort,Conca de Barberà,428,15,394
Blanes,Selva,13,18,40579
Boadella i les Escaules,Alt Empordà,82,11,258
Bolvir,Cerdanya,1145,10,518
Bonastre,Baix Penedès,177,25,742
