Longitud,Latitud
42.1615074,1.0919975
41.5175266,1.9017802
42.0007934,0.7610053
41.7871869,1.0979794
41.7392097,1.627507
42.393654,2.8458672
41.7831042,2.2679632
41.3296224,1.3586793
41.9376629,2.7620863
41.4934916,0.4590823
41.6150242,0.7402123
42.3244874,1.5402327
41.4470074,0.7408063
42.3047854,2.7204483
41.5733763,0.607391
41.752541,0.6595184
41.4230658,0.9360877
41.2449807,1.486239
41.2520305,1.0896014
42.1048463,3.08392
40.5430578,0.4767476
41.4815016,0.6174558
41.5632518,0.5244241
41.647636,0.694722
41.262476,1.1709847
40.7455735,0.6186663
40.879942,0.4992069
41.2010984,1.0457461
41.4919653,2.2940817
40.8469416,0.3654204
41.830647,0.5687512
41.5208628,0.6192322
41.2066087,0.9533984
41.8148326,0.6381854
41.7367673,0.5849024
42.5486199,1.3177031
41.2985963,1.3035514
41.7286912,0.4419828
41.3057999,0.4237121
41.7970523,0.5680948
41.1970367,1.1107223
41.9126559,0.9600662
42.3728449,1.886116
42.1189496,2.1014619
41.669674,0.554149
42.6830031,1.0777723
41.1408587,1.3776889
42.0104174,2.6028036
40.8839435,0.7996491
41.6683251,2.2605005
40.8123438,0.7071009
40.7067997,0.5801695
41.9392441,2.6288523
41.6571914,1.0837613
41.5426212,0.9234723
41.2659877,1.6020337
41.2426006,0.9487716
41.8165773,2.511129
41.5783288,2.5346498
41.6093683,2.5408414
42.2160996,2.6415719
41.598075,1.4437711
41.137506,0.9089424
41.5531639,2.4008466
42.1717603,3.0738992
40.9110458,0.2614174
42.7591538,0.7105267
42.3500537,1.5829386
41.796354,1.9514657
41.553054,0.7033745
41.8956604,1.0472421
41.1827575,0.5671571
41.4941193,0.6743076
41.9366402,0.810357
42.0782101,1.8202649
41.8641846,1.9724136
42.2505428,2.9119781
41.3547538,1.7858092
41.446964,2.2449607
41.508052,2.1152932
42.25262,1.861711
42.3301006,1.0394635
41.7919281,0.8060409
41.8240086,2.2089109
41.8634562,1.8745219
41.2794548,1.5808175
42.1181833,2.7651488
41.6775914,1.016083
41.4109456,1.2277556
41.5136208,2.1255553
41.3873974,2.168568
42.0126088,1.1929114
42.1581166,2.9107298
42.0169127,1.2958754
41.0937776,0.3119154
42.8344383,0.7167588
41.3154028,1.900155
41.9535511,3.2025608
41.5605304,1.0143426
41.3368343,0.736055
42.0792042,3.0958224
41.7583443,0.9044696
41.6303438,0.7791283
41.7739942,0.9519708
41.1636991,0.7654623
41.5170582,1.4335027
41.6254321,1.0119509
41.2351212,1.5644578
42.3728624,1.7749101
41.6743299,0.8186873
41.697298,0.6328539
40.9733072,0.5169219
41.0584559,0.6340386
42.1012595,1.8439221
42.2002357,2.6953375
41.9657629,2.7400328
42.237315,2.7095744
41.6960994,2.2003055
41.8418319,1.3580764
41.9586483,3.0397887
41.2806379,0.7225467
41.2794225,1.4887997
42.3380313,2.8954417
41.4505405,1.1496969
41.6759954,2.7902289
42.3304423,2.8565087
42.4179996,1.8798938
41.2210731,1.4399455
42.7377242,0.7206173
42.0388569,2.9169749
41.5223705,0.8735607
41.1702125,1.0209204
42.2230901,2.9257107
42.1347563,1.9939643
42.7855045,0.6921325
41.0092002,0.3849736
41.1352694,0.9898346
41.32613,0.6387778
41.2693132,1.3408979
41.7497057,2.5569436
41.5805938,1.7799034
41.8168113,2.3054067
41.9045225,2.6841937
41.24846,0.724773
41.8508626,1.2166383
42.2303509,2.8200093
42.306365,2.9675572
41.3719419,1.6888257
42.2388889,1.2471427
41.3954009,1.2758641
41.4936117,1.710095
41.5211753,2.4060513
41.5247306,2.3671032
42.2934281,3.2633918
41.7325486,1.5135421
41.1938386,1.5664556
41.7900394,1.9936584
41.5716858,2.5236717
41.8360163,2.8084466
41.6316583,2.1668706
41.6134346,2.6535552
41.9250982,2.2840953
41.7965959,1.7830973
41.7626074,1.477615
41.8637896,3.0726468
41.8745355,0.8774248
40.7709311,0.6690034
41.0666754,1.0603606
42.094148,2.7670699
42.2219838,2.1683571
42.2948623,2.1416484
41.7250133,2.4639623
41.8937008,2.831922
42.3136694,2.3651425
42.8122428,0.8008388
42.0327715,2.7374949
41.5998437,2.5767694
41.1209005,1.1803025
41.6187296,2.2770506
41.6939748,2.3532739
42.4221088,2.9254799
41.2829335,1.7230553
41.2954255,1.0272002
41.1006811,0.7821062
41.5309648,1.685923
42.366414,2.9275836
42.0831454,1.7548008
41.6394024,2.3591531
41.913607,1.6797134
41.5348511,1.6226538
41.0394453,0.2511497
41.8862532,2.8751691
42.0120819,1.8434162
42.1730883,1.9452014
42.1046566,0.8579818
42.0223125,1.4155391
42.2829512,2.0172181
42.1206982,1.7626291
41.6172338,2.0873256
41.6291032,1.8641519
41.482929,1.9869293
41.7703577,2.1548473
41.4974858,0.7663538
41.2800161,1.9766294
41.2535361,1.5925029
42.219731,2.5488918
41.7758933,1.4379359
41.6658732,1.6842693
41.6747239,1.8435319
41.8343436,1.8367862
41.6479821,0.9704298
42.2604918,3.0738992
41.8174163,0.7265542
41.598018,1.6997629
41.8144466,3.0321868
41.7458448,0.9874443
41.7503185,2.1199
41.187811,1.0897511
41.3324427,1.5942571
41.4500186,1.8995445
41.1759037,1.3270397
42.3252871,1.6055202
41.9685385,2.620788
42.025748,2.8790408
41.7973754,2.2222269
42.1468742,1.8601862
41.4900419,2.1396748
41.3896747,1.9539106
41.671465,1.272254
41.4274049,0.8609602
42.0667654,2.9094816
42.2684611,2.8480486
41.5612352,1.1395
41.9331297,1.626142
41.4673371,0.6897597
42.4004541,3.1277854
42.1738219,1.3161974
41.5644495,1.8147696
41.0999205,0.8874775
41.8265144,2.1751135
42.0845206,2.9881816
42.175938,1.5886966
42.2121579,1.0011902
41.5181131,1.2912103
41.1535458,1.212596
41.6460892,1.5160212
41.0768503,0.4755993
41.4202064,1.9245812
41.6901038,0.6927257
41.9872589,3.0144382
41.3573827,2.0707159
42.0891611,2.8160067
41.2671938,0.9152051
41.1655007,1.4359781
42.1880382,2.7985236
41.9570559,2.9922348
41.2085031,1.6727934
